input,time
0,0
30,0.333333
60,2.33333
90,22.3333
120,29.3333
150,51
180,63.6667
210,102.667
240,139.333
270,234.667
300,299
330,301.667
360,397.333
390,616.667
420,762.667
450,746
480,752.333
510,839
540,986.333
570,1139.67
