input,time
0,0
30,2
60,15.3333
90,134
120,126.333
150,864.667
180,890.667
210,924.667
240,896
270,6962
300,6803
330,6831.33
360,7005.33
390,6972.33
420,7227.67
450,7562
480,7463
510,7805.67
540,57760
570,58216.7
